known_adduct;fraghub_default;massdiff;ionmode
2M-2H+Ca-H;[(2M-2H+Ca)-H]-;36.939665;negative
2M-H+K-H;[(2M-H+K)-H]-;36.948606;negative
2M-H+Na-H;[(2M-H+Na)-H]-;20.974669;negative
3M-2H+Ca-H;[(3M-2H+Ca)-H]-;36.939665;negative
3M-H+K-H;[(3M-H+K)-H]-;36.948606;negative
3M-H+Na-H;[(3M-H+Na)-H]-;20.974669;negative
M+2CH3CO2H+Cl;[(M+2CH3CO2H)+Cl]-;155.011659;negative
M+2Na+2Cl+Cl;[(M+2Na+2Cl)+Cl]-;150.886647;negative
M+3Na+3Cl+Cl;[(M+3Na+3Cl)+Cl]-;208.84527;negative
M+4Na+4Cl+Cl;[(M+4Na+4Cl)+Cl]-;266.803893;negative
M+CH3CO2H+Cl;[(M+CH3CO2H)+Cl]-;94.99053;negative
M+CH3OH+Cl;[(M+CH3OH)+Cl]-;66.995601;negative
M+CH3OH-H;[(M+CH3OH)-H]-;31.018924;negative
M+H2O+Cl;[(M+H2O)+Cl]-;52.980001;negative
M+H2O-H;[(M+H2O)-H]-;17.003324;negative
M+Na+Cl+Cl;[(M+Na+Cl)+Cl]-;92.928024;negative
M+NH3+Cl;[(M+NH3)+Cl]-;51.99595;negative
M+NH3-H;[(M+NH3)-H]-;16.019273;negative
M-2H+2Na+Cl;[(M-2H+2Na)+Cl]-;78.933291;negative
M-2H+2Na-H;[(M-2H+2Na)-H]-;42.956724;negative
M-2H+2Na+2CH3CO2H+Cl;[(M-2H+2Na+2CH3CO2H)+Cl]-;198.975601;negative
M-2H+2Na+2CH3CO2H-H;[(M-2H+2Na+2CH3CO2H)-H]-;162.998924;negative
M-2H+Ca-H;[(M-2H+Ca)-H]-;36.939665;negative
M-2H+Ca+2CH3CO2H+Cl;[(M-2H+Ca+2CH3CO2H)+Cl]-;192.958601;negative
M-2H+Ca+2CH3CO2H-H;[(M-2H+Ca+2CH3CO2H)-H]-;156.981924;negative
M-2H+Ca+2CH3OH+Cl;[(M-2H+Ca+2CH3OH)+Cl]-;136.968757;negative
M-2H+Ca+2CH3OH-H;[(M-2H+Ca+2CH3OH)-H]-;100.99208;negative
M-2H+Ca+2H2O+Cl;[(M-2H+Ca+2H2O)+Cl]-;108.937507;negative
M-2H+Ca+2H2O-H;[(M-2H+Ca+2H2O)-H]-;72.96083;negative
M-2H+Ca+CH3CO2H+Cl;[(M-2H+Ca+CH3CO2H)+Cl]-;132.937471;negative
M-2H+Ca+CH3CO2H-H;[(M-2H+Ca+CH3CO2H)-H]-;96.960794;negative
M-2H+Ca+CH3OH+CH3COOH+Cl;[(M-2H+Ca+CH3OH+CH3COOH)+Cl]-;164.963686;negative
M-2H+Ca+CH3OH+CH3COOH-H;[(M-2H+Ca+CH3OH+CH3COOH)-H]-;128.987009;negative
M-2H+Ca+H2O+CH3CO2H+Cl;[(M-2H+Ca+H2O+CH3CO2H)+Cl]-;150.948036;negative
M-2H+Ca+H2O+CH3CO2H-H;[(M-2H+Ca+H2O+CH3CO2H)-H]-;114.971359;negative
M-2H+Ca+H2O+CH3OH+Cl;[(M-2H+Ca+H2O+CH3OH)+Cl]-;122.953107;negative
M-2H+Ca+H2O+CH3OH-H;[(M-2H+Ca+H2O+CH3OH)-H]-;86.97643;negative
M-2H2O-H;[(M-2H2O)-H]-;-37.027876;negative
M-C2H4-H;[(M-C2H4)-H]-;-29.038576;negative
M-C5H8O3-H;[(M-C5H8O3)-H]-;-117.054576;negative
M-C5H8O4-H;[(M-C5H8O4)-H]-;-133.049576;negative
M-CH2CO-H;[(M-CH2CO)-H]-;-43.017276;negative
M-CH2O-H;[(M-CH2O)-H]-;-31.017276;negative
M-CH3CH2NH-H;[(M-CH3CH2NH)-H]-;-46.065076;negative
M-CH3CHNH-H;[(M-CH3CHNH)-H]-;-44.049476;negative
M-CH3CHO-H;[(M-CH3CHO)-H]-;-45.032976;negative
M-CH3CO2H-H;[(M-CH3CO2H)-H]-;-61.028376;negative
M-CO-H;[(M-CO)-H]-;-29.002176;negative
M-CO2-H;[(M-CO2)-H]-;-44.997076;negative
M-GlcAc-H;[(M-GlcAc)-H]-;-177.039376;negative
M-H+2Na+Cl+Cl;[(M-H+2Na+Cl)+Cl]-;114.90997;negative
M-H+3Na+2Cl+Cl;[(M-H+3Na+2Cl)+Cl]-;172.868593;negative
M-H+4Na+3Cl+Cl;[(M-H+4Na+3Cl)+Cl]-;230.827216;negative
M-H+K+CH3CO2;[(M-H+K)+CH3CO2]-;96.969735;negative
M-H+K-H;[(M-H+K)-H]-;36.948606;negative
M-H+K+CH3CO2H+Cl;[(M-H+K+CH3CO2H)+Cl]-;132.946412;negative
M-H+Na+Cl;[(M-H+Na)+Cl]-;56.951347;negative
M-H+Na-H;[(M-H+Na)-H]-;20.974669;negative
M-H+Na+2CH3CO2H+Cl;[(M-H+Na+2CH3CO2H)+Cl]-;176.99363;negative
M-H+Na+2CH3CO2H-H;[(M-H+Na+2CH3CO2H)-H]-;141.016953;negative
M-H+Na+CH3CO2H+Cl;[(M-H+Na+CH3CO2H)+Cl]-;116.972501;negative
M-H+Na+CH3CO2H-H;[(M-H+Na+CH3CO2H)-H]-;80.995824;negative
M-H2O-H;[(M-H2O)-H]-;-19.022576;negative
M-H2O-CO-H;[(M-H2O-CO)-H]-;-47.012776;negative
M-H2O-CO2-H;[(M-H2O-CO2)-H]-;-63.007676;negative
M-H2O-NH3-H;[(M-H2O-NH3)-H]-;-36.044376;negative
M-H3PO4-H;[(M-H3PO4)-H]-;-98.974176;negative
M-HCN-HCN;[(M-HCN)-HCN]-;-28.017676;negative
M-HPO3-H;[(M-HPO3)-H]-;-80.973576;negative
M-NH3-H;[(M-NH3)-H]-;-18.033876;negative
M-NH3-CO-H;[(M-NH3-CO)-H]-;-46.028676;negative
M-SO3-H;[(M-SO3)-H]-;-80.964076;negative
2M+2Cl;[2M+2Cl]2-;69.938802;negative
2M+Cl;[2M+Cl]-;34.969401;negative
2M+FA-H;[2M+FA-H]-;44.9982;negative
2M+Hac-H;[2M+HAc-H]-;59.0139;negative
2M+K-2H;[2M+K-2H]-;36.9486;negative
2M+Na-2H;[2M+Na-2H]-;20.9747;negative
2M-2H;[2M-2H]2-;-2.014552;negative
2M-3H;[2M-3H]3-;-3.021828;negative
2M-H;[2M-H]-;-1.007276;negative
2M-H+Cl;[2M-H+Cl]2-;33.962125;negative
3M+2Cl;[3M+2Cl]2-;69.938802;negative
